epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
66,1739.55,0.62868,0.40129,0.00051,0.99357,0.9086,0.91606,0.85249,0.56966,0.4557,0.0006,0.000713,0.000713,0.000713
67,1765.81,0.59808,0.36956,0.00047,0.99352,0.90989,0.91751,0.84401,0.58321,0.44592,0.00061,0.0006932,0.0006932,0.0006932
68,1792.08,0.60526,0.39704,0.00049,0.99571,0.90884,0.91954,0.85369,0.55893,0.44479,0.00059,0.0006734,0.0006734,0.0006734
69,1818.31,0.6104,0.38306,0.00049,0.99241,0.90793,0.91825,0.8551,0.56247,0.44283,0.00058,0.0006536,0.0006536,0.0006536
70,1844.59,0.6137,0.39787,0.0005,0.99464,0.9091,0.91883,0.85681,0.55137,0.43475,0.00057,0.0006338,0.0006338,0.0006338
71,1870.91,0.58793,0.3853,0.00048,0.99462,0.90501,0.9166,0.85536,0.56421,0.45946,0.00059,0.000614,0.000614,0.000614
72,1897.13,0.59004,0.37778,0.00048,0.99249,0.90648,0.91601,0.85331,0.56036,0.43722,0.0006,0.0005942,0.0005942,0.0005942
73,1923.43,0.59779,0.37493,0.00049,0.99465,0.91003,0.91992,0.85898,0.55346,0.43299,0.00058,0.0005744,0.0005744,0.0005744
74,1949.61,0.60577,0.40998,0.00048,0.99663,0.90989,0.92069,0.85642,0.56413,0.43058,0.00057,0.0005546,0.0005546,0.0005546
75,1975.75,0.58739,0.4083,0.00047,0.99439,0.91087,0.92004,0.85891,0.54308,0.42547,0.00056,0.0005348,0.0005348,0.0005348
76,2001.87,0.57679,0.36987,0.00046,0.99465,0.9106,0.92092,0.85404,0.57199,0.42729,0.00059,0.000515,0.000515,0.000515
77,2028.1,0.59524,0.38947,0.00049,0.99333,0.91185,0.91789,0.85485,0.55598,0.44209,0.00057,0.0004952,0.0004952,0.0004952
78,2054.28,0.6025,0.37653,0.00047,0.99645,0.91185,0.92078,0.85985,0.5471,0.41934,0.00056,0.0004754,0.0004754,0.0004754
79,2080.44,0.56536,0.36978,0.00046,0.99465,0.91023,0.92078,0.85693,0.5606,0.41978,0.00059,0.0004556,0.0004556,0.0004556
80,2106.69,0.56898,0.35795,0.00046,0.99464,0.90876,0.92103,0.85803,0.55045,0.42716,0.00057,0.0004358,0.0004358,0.0004358
81,2132.89,0.58277,0.38533,0.00047,0.99446,0.91283,0.91879,0.86226,0.54689,0.42703,0.00056,0.000416,0.000416,0.000416
82,2159.13,0.56516,0.36433,0.00045,0.99325,0.91185,0.9184,0.86557,0.54054,0.42216,0.00056,0.0003962,0.0003962,0.0003962
83,2185.31,0.57295,0.38965,0.00046,0.99253,0.91085,0.91711,0.85897,0.54187,0.42684,0.00056,0.0003764,0.0003764,0.0003764
84,2211.5,0.54901,0.36428,0.00043,0.99572,0.91055,0.9171,0.85661,0.54548,0.43312,0.00057,0.0003566,0.0003566,0.0003566
85,2237.68,0.53923,0.33956,0.00042,0.99678,0.90988,0.9201,0.86766,0.5284,0.42196,0.00055,0.0003368,0.0003368,0.0003368
86,2263.95,0.55876,0.36849,0.00045,0.99499,0.91185,0.91835,0.86525,0.53383,0.4307,0.00057,0.000317,0.000317,0.000317
87,2290.18,0.54354,0.35271,0.00042,0.99466,0.91252,0.91833,0.86113,0.55323,0.42783,0.00056,0.0002972,0.0002972,0.0002972
88,2316.39,0.54029,0.35339,0.00042,0.99433,0.91283,0.91685,0.86016,0.5347,0.41976,0.00056,0.0002774,0.0002774,0.0002774
89,2342.69,0.54197,0.3425,0.00041,0.99544,0.91283,0.91689,0.86393,0.5406,0.42243,0.00055,0.0002576,0.0002576,0.0002576
90,2368.9,0.5358,0.34659,0.00043,0.99129,0.91185,0.91678,0.86631,0.52835,0.42154,0.00054,0.0002378,0.0002378,0.0002378
91,2395.76,0.5196,0.33887,0.00041,0.99466,0.91176,0.91801,0.8662,0.53135,0.41697,0.00054,0.000218,0.000218,0.000218
92,2421.75,0.51083,0.33708,0.0004,0.99455,0.91283,0.91634,0.86336,0.53458,0.41924,0.00055,0.0001982,0.0001982,0.0001982
93,2447.64,0.50979,0.32532,0.00039,0.99572,0.91084,0.91691,0.86494,0.53104,0.41823,0.00054,0.0001784,0.0001784,0.0001784
94,2473.55,0.50037,0.32197,0.00039,0.99667,0.91283,0.91774,0.86647,0.52576,0.41256,0.00053,0.0001586,0.0001586,0.0001586
95,2499.51,0.50322,0.32418,0.00039,0.99679,0.91277,0.91754,0.86641,0.52621,0.41082,0.00054,0.0001388,0.0001388,0.0001388
96,2525.45,0.50038,0.32403,0.00039,0.99673,0.91283,0.91806,0.86536,0.52227,0.4044,0.00054,0.000119,0.000119,0.000119
97,2551.43,0.49871,0.32592,0.00039,0.99657,0.91283,0.91807,0.86578,0.52158,0.40964,0.00053,9.92e-05,9.92e-05,9.92e-05
98,2577.37,0.49384,0.31851,0.00038,0.99664,0.91283,0.91754,0.86715,0.5239,0.41323,0.00053,7.94e-05,7.94e-05,7.94e-05
99,2603.31,0.49629,0.32103,0.00039,0.99679,0.91283,0.91915,0.86901,0.51992,0.41224,0.00053,5.96e-05,5.96e-05,5.96e-05
100,2629.33,0.49006,0.30917,0.00038,0.99683,0.91185,0.91784,0.86726,0.52418,0.41715,0.00053,3.98e-05,3.98e-05,3.98e-05
